dd/mm/yyyy,hh:mm:ss GMT,Series,Track,Laps
25/11/14,00:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,01:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,02:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,03:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,04:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,05:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,06:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,07:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,08:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,09:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,10:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,11:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,12:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,13:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,14:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,15:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,16:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,17:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,18:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,19:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,20:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,21:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,22:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
25/11/14,23:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,00:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,01:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,02:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,03:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,04:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,05:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,06:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,07:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,08:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,09:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
26/11/14,10:15:00,NASCAR iRacing Class C trucks Fixed,Gateway Motorsports Park,35
