dd/mm/yyyy,hh:mm:ss GMT,Series,Track,Laps
25/11/14,00:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,02:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,04:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,06:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,08:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,10:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,12:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,14:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,16:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,18:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,20:00:00,Indycar Series Road,Barber Motorsports Park,36
25/11/14,22:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,00:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,02:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,04:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,06:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,08:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,10:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,12:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,14:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,16:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,18:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,20:00:00,Indycar Series Road,Barber Motorsports Park,36
26/11/14,22:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,00:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,02:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,04:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,06:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,08:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,10:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,12:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,14:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,16:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,18:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,20:00:00,Indycar Series Road,Barber Motorsports Park,36
27/11/14,22:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,00:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,02:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,04:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,06:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,08:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,10:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,12:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,14:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,16:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,18:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,20:00:00,Indycar Series Road,Barber Motorsports Park,36
28/11/14,22:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,00:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,02:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,04:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,06:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,08:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,10:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,12:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,14:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,16:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,18:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,20:00:00,Indycar Series Road,Barber Motorsports Park,36
29/11/14,22:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,00:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,02:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,04:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,06:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,08:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,10:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,12:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,14:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,16:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,18:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,20:00:00,Indycar Series Road,Barber Motorsports Park,36
30/11/14,22:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,00:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,02:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,04:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,06:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,08:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,10:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,12:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,14:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,16:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,18:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,20:00:00,Indycar Series Road,Barber Motorsports Park,36
01/12/14,22:00:00,Indycar Series Road,Barber Motorsports Park,36
02/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,12:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,14:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
02/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,12:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,14:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
03/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,12:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,14:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
04/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,12:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,14:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,16:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,18:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,20:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
05/12/14,22:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,00:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,02:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,04:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,06:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,08:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
06/12/14,10:00:00,Indycar Series Road,Canadian Tire Motorsports Park,37
